"Transaction Hash","Timestamp","From","To","Transaction Type","Asset Contract Address","Asset Symbol / Name","Token ID","Amount","Gas Fee (ETH)"
"0xeda2b3f69e780f42b68b3f937b27048b0f35ec419cca13fe6870ebffdc057673","2024-03-19T22:45:23Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xfb50526f49894b78541b776f5aaefe43e3bd8590","ETH_TRANSFER","","","","0.0","0.000724227092841"
"0xf747d40de54f05063e1485c118895b98ec37788e48e73568f350b95f0f993bee","2024-03-19T22:49:59Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xfb50526f49894b78541b776f5aaefe43e3bd8590","ETH_TRANSFER","","","","0.0","0.000867623347836"
"0x32466046f39527c017fa2036d73dcd0d3982df774c1cf5967818bc339dab0d08","2024-03-19T22:51:11Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xfb50526f49894b78541b776f5aaefe43e3bd8590","ETH_TRANSFER","","","","0.0","0.000770937609981"
"0x4d343d9767caa14002518551b5b18efd037b20c44603cc1103e4e4c6bf07bd4c","2024-03-19T22:52:47Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xfb50526f49894b78541b776f5aaefe43e3bd8590","ETH_TRANSFER","","","","0.0","0.000777965164683"
"0x975334b48a5965a49f8f038adc52acdced6c23dfbfa8a1369c81fd40219517e8","2024-03-19T22:54:35Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xfb50526f49894b78541b776f5aaefe43e3bd8590","ETH_TRANSFER","","","","0.0","0.000758131269567"
"0x484bf294afce707dbd15c9c90945f0def96d625fcf520dc83f239a2b28b64f42","2024-03-19T22:55:59Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xfb50526f49894b78541b776f5aaefe43e3bd8590","ETH_TRANSFER","","","","0.0","0.00075834554271"
"0x41620ac72791480067215990a162e47c1bbbd6b45314af727cbb51ee71052234","2024-03-19T22:57:23Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xfb50526f49894b78541b776f5aaefe43e3bd8590","ETH_TRANSFER","","","","0.0","0.000771973570053"
"0x76efbcdae405ecd5173778e61b1efe163b63f20222837204402130e7889e6560","2024-03-19T22:58:47Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xfb50526f49894b78541b776f5aaefe43e3bd8590","ETH_TRANSFER","","","","0.0","0.0009702"
"0x909ddfa8b0665662d25b35751ff4a53b763cf7435dc816878951fda5f34a4868","2024-03-19T23:00:11Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xfb50526f49894b78541b776f5aaefe43e3bd8590","ETH_TRANSFER","","","","0.0","0.000813038847327"
"0x28e1f1cfa7d58531a72422f40357d1091f882125d365ff7f1f7ef868b3e2f4b6","2024-03-19T23:04:11Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xfb50526f49894b78541b776f5aaefe43e3bd8590","ETH_TRANSFER","","","","0.0","0.000708433780005"
"0x7441e0a6b8b58938f252c7f1ab54faf6e3813dd4f69344dc3596f86fe63c42d5","2024-03-19T23:05:47Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xfb50526f49894b78541b776f5aaefe43e3bd8590","ETH_TRANSFER","","","","0.0","0.000898008287526"
"0x6105d1ad0a357bcfe5cc9dc7872d9bca10b287ca391718287f07c0eaee06e58d","2024-03-19T23:07:11Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xfb50526f49894b78541b776f5aaefe43e3bd8590","ETH_TRANSFER","","","","0.0","0.000965264876793"
"0xe2546523c850f4c19fab71286015ac2caa9f86a8c5d8bbfef311d2e66d372b85","2024-03-19T23:13:47Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xfb50526f49894b78541b776f5aaefe43e3bd8590","ETH_TRANSFER","","","","0.0","0.00086418143994"
"0x370fa3e5654e0267c2c24fd9c502fb354a13b88864f883161f4dd7506a73afde","2024-03-19T23:15:47Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xfb50526f49894b78541b776f5aaefe43e3bd8590","ETH_TRANSFER","","","","0.0","0.001015760523414"
"0xb21c0c9d71b7b84db78074f99bbe71dd5fc3d6bd4ca8ad644e152386d45cb49d","2024-03-19T23:24:35Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xfb50526f49894b78541b776f5aaefe43e3bd8590","ETH_TRANSFER","","","","0.0","0.000887548388244"
"0x2493d394f128fb16fe1d14d5cb1c5c5afc824ad9cb98461ee1e0cced91a5482b","2024-03-19T23:32:47Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xfb50526f49894b78541b776f5aaefe43e3bd8590","ETH_TRANSFER","","","","0.0","0.000974774197089"
"0x2a4536ce1308ab89be1ee91bfc978233b4cd83f0d1b0faae56d1d20ab3d8496f","2024-03-19T23:33:59Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xfb50526f49894b78541b776f5aaefe43e3bd8590","ETH_TRANSFER","","","","0.0","0.000982696722273"
"0x342e594069c2c68a3f305aefbf3aa4b1e08eb2a5f96f6c728f4493960a1f0e2e","2024-03-19T23:47:59Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xfb50526f49894b78541b776f5aaefe43e3bd8590","ETH_TRANSFER","","","","0.0","0.000847681303077"
"0xa30afe49fa8cb4539f5e8f9e77a0037c40a0eb6b739ccc6950dedaab3b6acb4e","2024-03-19T23:52:59Z","0xfb50526f49894b78541b776f5aaefe43e3bd8590","0xfb50526f49894b78541b776f5aaefe43e3bd8590","ETH_TRANSFER","","","","0.0","0.0011088"
